City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
114,Hermanus,-34.42,19.23,61.0,84,100,6.13,ZA,overcast clouds
115,Moi,58.46,6.55,44.01,72,100,5.19,NO,overcast clouds
116,Kibakwe,-6.72,36.37,64.69,78,0,4.74,TZ,clear sky
117,Fort Abbas,29.19,72.85,75.09,19,0,3.89,PK,clear sky
118,Luau,-10.71,22.22,72.03,55,0,2.33,AO,clear sky
119,Gwembe,-16.5,27.61,69.03,25,0,4.07,ZM,clear sky
120,Male,4.17,73.51,84.2,83,75,13.87,MV,broken clouds
121,Santiago Del Estero,-27.8,-64.26,103.39,19,0,17.92,AR,clear sky
122,Taltal,-25.4,-70.48,63.84,59,23,5.68,CL,few clouds
123,Santa Maria,-29.68,-53.81,78.64,56,0,4.68,BR,clear sky
124,Castro,-24.79,-50.01,66.04,80,100,7.47,BR,overcast clouds
125,Constitucion,-35.33,-72.42,58.24,57,0,17.67,CL,clear sky
126,Pointe Michel,15.25,-61.38,87.8,79,75,4.7,DM,broken clouds
127,Zemlyansk,51.9,38.73,44.6,65,75,11.18,RU,broken clouds
128,Havoysund,71.0,24.66,37.4,93,40,5.82,NO,shower rain
129,Turukhansk,65.82,87.98,20.93,98,100,15.84,RU,light snow
130,Tiznit,29.58,-9.5,69.78,34,100,3.71,MA,overcast clouds
131,Pisco,-13.7,-76.22,66.2,77,90,8.05,PE,overcast clouds
132,Pangnirtung,66.15,-65.71,46.4,85,90,18.34,CA,light rain
133,Namibe,-15.2,12.15,69.46,74,16,3.56,AO,few clouds
134,Virginia Beach,36.85,-75.98,69.01,70,49,3.0,US,scattered clouds
135,Saint George,37.1,-113.58,82.99,10,1,6.38,US,clear sky
136,Ismailia,30.6,32.27,71.28,79,0,8.48,EG,clear sky
137,Suffolk,40.87,-72.8,60.8,55,20,6.93,US,few clouds
138,Bria,6.54,21.99,70.27,93,96,2.53,CF,light rain
139,Dingle,11.0,122.67,76.42,91,100,5.75,PH,overcast clouds
140,Cockburn Town,21.46,-71.14,82.63,78,100,15.01,TC,overcast clouds
141,Aasiaat,68.71,-52.87,36.14,81,100,24.25,GL,overcast clouds
142,Nata,8.33,-80.52,82.4,78,75,4.7,PA,broken clouds
143,Shakhtinsk,49.71,72.59,14.0,85,0,4.47,KZ,clear sky
144,Morondava,-20.28,44.28,74.53,90,16,6.6,MG,few clouds
145,Boke,10.94,-14.3,79.47,86,53,2.26,GN,light rain
146,Ciudad Bolivar,8.12,-63.55,90.7,52,89,2.53,VE,overcast clouds
147,Rawson,-43.3,-65.1,71.83,21,41,25.05,AR,scattered clouds
148,Cayenne,4.93,-52.33,87.8,58,25,10.29,GF,scattered clouds
149,Rio Verde De Mato Grosso,-18.92,-54.84,83.93,52,58,6.22,BR,broken clouds
150,Novocheremshansk,54.36,50.17,56.64,73,95,13.96,RU,overcast clouds
151,Garowe,8.41,48.48,78.96,68,13,7.09,SO,few clouds
152,Olinda,-8.01,-34.86,80.6,69,40,12.75,BR,scattered clouds
153,Manavalakurichi,8.13,77.3,80.6,83,20,2.24,IN,mist
154,Callaway,30.15,-85.57,86.0,51,20,6.93,US,few clouds
155,Corinto,37.94,22.96,66.0,40,1,3.2,GR,clear sky
